incident_number,alarm_type,build_type,true_alarm,false_alarm,true_percentage,false_percentage
602690-17062012,1120,industry_facility,0,25,0,100
602900-17062012,6200,industry_facility,0,98,0,100
603405-18062012,1100,hospital,0,97,0,100
603860-19062012,6100,house,0,290,0,100
605258-22062012,1370,others,0,2,0,100
605600-22062012,0,rest_home,0,16,0,100
606580-24062012,1100,restaurant,0,32,0,100
606929-25062012,7100,others,0,1,0,100
607674-26062012,0,tansport,0,3,0,100
607692-26062012,0,hotel,0,14,0,100
607746-26062012,0,school,0,17,0,100
607806-26062012,0,public_facility,0,18,0,100
607820-26062012,0,house,0,13,0,100
607849-26062012,0,shopping_mall,0,6,0,100
607903-26062012,0,industry_facility,0,3,0,100
609368-29062012,7110,others,0,28,0,100
611321-02072012,1170,industry_facility,0,10,0,100
613591-07072012,6110,shopping_mall,0,84,0,100
614644-08072012,1900,shopping_mall,0,8,0,100
615681-10072012,6120,office,0,3,0,100
616870-13072012,1900,public_facility,0,17,0,100
621628-22072012,1200,apartment,0,5,0,100
626267-31072012,1120,hotel,0,19,0,100
627055-01082012,1200,office,0,9,0,100
627308-02082012,1200,others,0,27,0,100
637517-16082012,1190,office,0,1,0,100
649287-01092012,1900,industry_facility,0,1,0,100
685522-16102012,1170,others,0,7,0,100
685785-17102012,1120,hospital,0,18,0,100
697576-01112012,1200,public_facility,0,7,0,100
704497-10112012,1160,office,0,3,0,100
707465-14112012,6110,restaurant,0,4,0,100
708026-15112012,6600,apartment,0,2,0,100
719876-03122012,1120,office,0,40,0,100
063896-30032013,6210,office,0,24,0,100
121869-10072013,8990,others,0,1,0,100
174879-27092013,1200,shopping_mall,0,2,0,100
220396-12112013,1120,public_facility,0,1,0,100
234686-06122013,1200,hotel,0,17,0,100
037114-25022014,2270,others,0,3,0,100
062375-12042014,1110,others,0,3,0,100
115841-18072014,1130,shopping_mall,0,1,0,100
205828-03122014,1900,school,0,1,0,100
213596-14122014,4310,others,0,1,0,100
223401-30122014,2270,office,0,6,0,100
058408-15042015,1140,apartment,0,2,0,100
068161-22042015,4110,others,0,1,0,100
