incident_number,alarm_type,repeat_count,true_alarm,false_alarm,true_percentage,false_percentage
603461-18062012,1120,1,0,27,0,100
605258-22062012,1370,0,0,2,0,100
606929-25062012,7100,0,0,1,0,100
609746-30062012,1900,1,0,22,0,100
609765-30062012,1900,2,0,7,0,100
610292-30062012,1900,3,0,3,0,100
610434-01072012,1900,4,0,2,0,100
610836-01072012,0,1,0,6,0,100
611321-02072012,1170,0,0,16,0,100
611408-03072012,6120,1,0,4,0,100
611409-03072012,1170,1,0,1,0,100
611808-03072012,6200,3,0,23,0,100
611828-03072012,6200,4,0,10,0,100
611946-04072012,6100,3,0,167,0,100
612022-04072012,6900,5,0,40,0,100
612533-05072012,6100,4,0,50,0,100
612694-05072012,6110,3,0,40,0,100
616729-13072012,1100,3,0,54,0,100
617019-13072012,1100,4,0,27,0,100
619336-17072012,6990,6,0,19,0,100
619344-17072012,6990,7,0,13,0,100
619610-18072012,6990,8,0,10,0,100
621628-22072012,1200,0,0,50,0,100
621642-22072012,1200,1,0,8,0,100
624151-27072012,1120,2,0,3,0,100
626786-01082012,6100,5,0,21,0,100
627266-01082012,1200,2,0,3,0,100
627308-02082012,1200,3,0,2,0,100
627325-02082012,6100,6,0,12,0,100
627652-02082012,6100,7,0,6,0,100
627812-02082012,1200,4,0,2,0,100
627895-03082012,6100,8,0,6,0,100
637517-16082012,1190,0,0,1,0,100
639005-18082012,6110,4,0,17,0,100
648630-31082012,1120,3,0,1,0,100
661987-15092012,6900,6,0,22,0,100
662003-15092012,6900,7,0,14,0,100
662162-15092012,6900,8,0,9,0,100
662531-15092012,6900,9,0,4,0,100
671909-28092012,6900,10,0,3,0,100
671932-28092012,6900,11,0,1,0,100
702563-07112012,6290,1,0,2,0,100
704497-10112012,1160,0,0,3,0,100
708026-15112012,6600,0,0,2,0,100
713294-24112012,7110,1,0,13,0,100
713869-25112012,7110,2,0,1,0,100
732764-20122012,1100,5,0,12,0,100
733666-21122012,6110,5,0,8,0,100
733749-21122012,6110,6,0,7,0,100
734218-21122012,6110,7,0,3,0,100
013764-14012013,1100,6,0,6,0,100
013782-14012013,1100,7,0,6,0,100
027216-29012013,6990,9,0,3,0,100
054928-16032013,6990,10,0,1,0,100
054988-16032013,6990,11,0,1,0,100
055001-16032013,6990,12,0,1,0,100
055016-16032013,6990,13,0,1,0,100
055058-16032013,6990,14,0,1,0,100
055073-16032013,6990,15,0,1,0,100
059625-24032013,6110,8,0,1,0,100
063896-30032013,6210,0,0,19,0,100
064267-31032013,6210,1,0,4,0,100
064340-31032013,6210,2,0,1,0,100
067780-06042013,1100,8,0,4,0,100
121869-10072013,8990,0,0,1,0,100
209020-30102013,1100,9,0,2,0,100
209021-30102013,1100,10,0,2,0,100
209022-30102013,1100,11,0,2,0,100
209023-30102013,1100,12,0,1,0,100
209024-30102013,1100,13,0,1,0,100
209025-30102013,1100,14,0,1,0,100
209026-30102013,1100,15,0,1,0,100
209027-30102013,1100,16,0,1,0,100
209028-30102013,1100,17,0,1,0,100
209029-30102013,1100,18,0,1,0,100
209030-30102013,1100,19,0,1,0,100
209031-30102013,1100,20,0,1,0,100
209032-30102013,1100,21,0,1,0,100
209033-30102013,1100,22,0,1,0,100
209034-30102013,1100,23,0,1,0,100
209035-30102013,1100,24,0,1,0,100
209036-30102013,1100,25,0,1,0,100
209037-30102013,1100,26,0,1,0,100
209038-30102013,1100,27,0,1,0,100
209039-30102013,1100,28,0,1,0,100
209040-30102013,1100,29,0,1,0,100
209041-30102013,1100,30,0,1,0,100
209042-30102013,1100,31,0,1,0,100
209043-30102013,1100,32,0,1,0,100
209044-30102013,1100,33,0,1,0,100
209045-30102013,1100,34,0,1,0,100
209046-30102013,1100,35,0,1,0,100
209047-30102013,1100,36,0,1,0,100
209048-30102013,1100,37,0,1,0,100
209049-30102013,1100,38,0,1,0,100
209050-30102013,1100,39,0,1,0,100
209051-30102013,1100,40,0,1,0,100
209052-30102013,1100,41,0,1,0,100
209053-30102013,1100,42,0,1,0,100
209054-30102013,1100,43,0,1,0,100
209064-30102013,1100,44,0,1,0,100
209067-30102013,1100,45,0,1,0,100
209565-31102013,1900,5,0,1,0,100
209566-31102013,1900,6,0,1,0,100
209567-31102013,1900,7,0,1,0,100
209568-31102013,1900,8,0,1,0,100
209569-31102013,1900,9,0,1,0,100
209570-31102013,1900,10,0,1,0,100
236726-09122013,1200,5,0,1,0,100
236786-09122013,1200,6,0,1,0,100
037114-25022014,2270,0,0,9,0,100
062375-12042014,1110,0,0,2,0,100
068080-23042014,6200,5,0,4,0,100
115841-18072014,1130,0,0,1,0,100
170973-16102014,1110,1,0,1,0,100
188498-09112014,6200,6,0,1,0,100
213596-14122014,4310,0,0,1,0,100
029430-22022015,6100,9,0,4,0,100
033018-01032015,6100,10,0,2,0,100
033458-01032015,6100,11,0,1,0,100
058408-15042015,1140,0,0,1,0,100
058492-15042015,1140,1,0,1,0,100
068161-22042015,4110,0,0,1,0,100
