incident_number,alarm_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
605258-22062012,1370,Work_days,0,2,0,100
606087-23062012,0,Week_ends,0,54,0,100
606929-25062012,7100,Work_days,0,1,0,100
609712-30062012,1900,Week_ends,0,52,0,100
611321-02072012,1170,Work_days,0,13,0,100
621628-22072012,1200,Week_ends,0,13,0,100
627055-01082012,1200,Work_days,0,54,0,100
637517-16082012,1190,Work_days,0,1,0,100
704497-10112012,1160,Week_ends,0,2,0,100
708026-15112012,6600,Work_days,0,2,0,100
714238-25112012,1170,Week_ends,0,4,0,100
719887-03122012,1160,Work_days,0,1,0,100
063896-30032013,6210,Week_ends,0,8,0,100
069245-09042013,6210,Work_days,0,16,0,100
121869-10072013,8990,Work_days,0,1,0,100
037114-25022014,2270,Work_days,0,8,0,100
062375-12042014,1110,Week_ends,0,1,0,100
115841-18072014,1130,Work_days,0,1,0,100
170676-15102014,1110,Work_days,0,2,0,100
176281-25102014,2350,Week_ends,0,2,0,100
213596-14122014,4310,Week_ends,0,1,0,100
058408-15042015,1140,Work_days,0,2,0,100
068161-22042015,4110,Work_days,0,1,0,100
070286-25042015,2270,Week_ends,0,1,0,100
