incident_number,repeat_count,build_type,true_alarm,false_alarm,true_percentage,false_percentage
606039-23062012,1,house,0,116,0,100
611562-03072012,3,office,0,32,0,100
611808-03072012,3,shopping_mall,0,68,0,100
611828-03072012,4,shopping_mall,0,22,0,100
612022-04072012,5,apartment,0,18,0,100
612694-05072012,3,school,0,89,0,100
617019-13072012,4,office,0,16,0,100
619240-17072012,2,rest_home,0,128,0,100
619336-17072012,6,apartment,0,11,0,100
619344-17072012,7,apartment,0,8,0,100
619610-18072012,8,apartment,0,7,0,100
622656-24072012,3,rest_home,0,32,0,100
627325-02082012,6,others,0,25,0,100
627652-02082012,7,others,0,15,0,100
627895-03082012,8,others,0,12,0,100
627919-03082012,3,public_facility,0,36,0,100
629467-05082012,5,shopping_mall,0,8,0,100
634684-11082012,1,restaurant,0,40,0,100
639005-18082012,4,public_facility,0,11,0,100
642430-22082012,4,hospital,0,27,0,100
652087-04092012,2,house,0,16,0,100
653868-05092012,3,hotel,0,37,0,100
657419-09092012,2,tansport,0,35,0,100
657446-09092012,3,tansport,0,11,0,100
657544-09092012,4,tansport,0,2,0,100
660022-12092012,4,school,0,35,0,100
661282-14092012,4,hotel,0,13,0,100
661790-14092012,5,office,0,4,0,100
661987-15092012,6,office,0,2,0,100
662003-15092012,7,office,0,2,0,100
662162-15092012,8,office,0,2,0,100
662531-15092012,9,office,0,1,0,100
669921-26092012,4,rest_home,0,5,0,100
671463-28092012,5,hospital,0,10,0,100
671475-28092012,6,hospital,0,3,0,100
671480-28092012,7,hospital,0,2,0,100
671483-28092012,8,hospital,0,1,0,100
671487-28092012,9,hospital,0,1,0,100
671909-28092012,10,hospital,0,1,0,100
671932-28092012,11,hospital,0,1,0,100
673560-30092012,5,school,0,22,0,100
732764-20122012,5,public_facility,0,5,0,100
733749-21122012,6,school,0,15,0,100
734218-21122012,7,school,0,8,0,100
738432-27122012,6,shopping_mall,0,4,0,100
738765-27122012,7,shopping_mall,0,3,0,100
739340-28122012,8,shopping_mall,0,3,0,100
004383-06012013,2,restaurant,0,8,0,100
008706-09012013,5,rest_home,0,2,0,100
008835-09012013,6,rest_home,0,1,0,100
013696-14012013,5,hotel,0,6,0,100
013764-14012013,6,hotel,0,4,0,100
013782-14012013,7,hotel,0,1,0,100
027216-29012013,9,others,0,5,0,100
027507-29012013,3,house,0,4,0,100
041081-22022013,5,tansport,0,1,0,100
041085-22022013,6,tansport,0,1,0,100
041680-22022013,7,tansport,0,1,0,100
044087-24022013,3,restaurant,0,1,0,100
054928-16032013,10,others,0,3,0,100
054988-16032013,11,others,0,1,0,100
055001-16032013,12,others,0,1,0,100
055016-16032013,13,others,0,1,0,100
055058-16032013,14,others,0,1,0,100
055073-16032013,15,others,0,1,0,100
067780-06042013,8,school,0,5,0,100
209016-30102013,6,public_facility,0,3,0,100
209018-30102013,7,public_facility,0,3,0,100
209019-30102013,8,public_facility,0,1,0,100
209020-30102013,9,public_facility,0,1,0,100
209021-30102013,10,public_facility,0,1,0,100
209022-30102013,11,public_facility,0,1,0,100
209023-30102013,12,public_facility,0,1,0,100
209024-30102013,13,public_facility,0,1,0,100
209025-30102013,14,public_facility,0,1,0,100
209026-30102013,15,public_facility,0,1,0,100
209027-30102013,16,public_facility,0,1,0,100
209028-30102013,17,public_facility,0,1,0,100
209029-30102013,18,public_facility,0,1,0,100
209030-30102013,19,public_facility,0,1,0,100
209031-30102013,20,public_facility,0,1,0,100
209032-30102013,21,public_facility,0,1,0,100
209033-30102013,22,public_facility,0,1,0,100
209034-30102013,23,public_facility,0,1,0,100
209035-30102013,24,public_facility,0,1,0,100
209036-30102013,25,public_facility,0,1,0,100
209037-30102013,26,public_facility,0,1,0,100
209038-30102013,27,public_facility,0,1,0,100
209039-30102013,28,public_facility,0,1,0,100
209040-30102013,29,public_facility,0,1,0,100
209041-30102013,30,public_facility,0,1,0,100
209042-30102013,31,public_facility,0,1,0,100
209043-30102013,32,public_facility,0,1,0,100
209044-30102013,33,public_facility,0,1,0,100
209045-30102013,34,public_facility,0,1,0,100
209046-30102013,35,public_facility,0,1,0,100
209047-30102013,36,public_facility,0,1,0,100
209048-30102013,37,public_facility,0,1,0,100
209049-30102013,38,public_facility,0,1,0,100
209050-30102013,39,public_facility,0,1,0,100
209051-30102013,40,public_facility,0,1,0,100
209052-30102013,41,public_facility,0,1,0,100
209053-30102013,42,public_facility,0,1,0,100
209054-30102013,43,public_facility,0,1,0,100
209064-30102013,44,public_facility,0,1,0,100
209067-30102013,45,public_facility,0,1,0,100
075447-07052014,9,shopping_mall,0,1,0,100
075454-07052014,10,shopping_mall,0,1,0,100
075565-07052014,11,shopping_mall,0,1,0,100
029430-22022015,9,school,0,4,0,100
033018-01032015,10,school,0,2,0,100
033458-01032015,11,school,0,1,0,100
053850-06042015,4,industry_facility,0,3,0,100
053858-06042015,5,industry_facility,0,1,0,100
056971-12042015,9,apartment,0,1,0,100
057049-12042015,10,apartment,0,1,0,100
