incident_number,repeat_count,time_of_day2,true_alarm,false_alarm,true_percentage,false_percentage
610292-30062012,3,Night-time,0,240,0,100
611562-03072012,3,Office Hours,0,149,0,100
617019-13072012,4,Office Hours,0,62,0,100
619336-17072012,6,Cooking-time,0,39,0,100
619344-17072012,7,Cooking-time,0,18,0,100
619610-18072012,8,Cooking-time,0,11,0,100
626786-01082012,5,Night-time,0,38,0,100
627325-02082012,6,Night-time,0,19,0,100
627652-02082012,7,Office Hours,0,11,0,100
627895-03082012,8,Night-time,0,14,0,100
662162-15092012,8,Office Hours,0,6,0,100
662531-15092012,9,Cooking-time,0,9,0,100
671480-28092012,7,Night-time,0,14,0,100
671487-28092012,9,Night-time,0,5,0,100
671909-28092012,10,Cooking-time,0,7,0,100
671932-28092012,11,Cooking-time,0,4,0,100
030247-02022013,5,Office Hours,0,15,0,100
055001-16032013,12,Office Hours,0,1,0,100
055016-16032013,13,Office Hours,0,1,0,100
055058-16032013,14,Office Hours,0,1,0,100
055073-16032013,15,Office Hours,0,1,0,100
057285-20032013,6,Office Hours,0,11,0,100
209023-30102013,12,Cooking-time,0,1,0,100
209024-30102013,13,Cooking-time,0,1,0,100
209025-30102013,14,Cooking-time,0,1,0,100
209026-30102013,15,Cooking-time,0,1,0,100
209027-30102013,16,Cooking-time,0,1,0,100
209028-30102013,17,Cooking-time,0,1,0,100
209029-30102013,18,Cooking-time,0,1,0,100
209030-30102013,19,Cooking-time,0,1,0,100
209031-30102013,20,Cooking-time,0,1,0,100
209032-30102013,21,Cooking-time,0,1,0,100
209033-30102013,22,Cooking-time,0,1,0,100
209034-30102013,23,Cooking-time,0,1,0,100
209035-30102013,24,Cooking-time,0,1,0,100
209036-30102013,25,Cooking-time,0,1,0,100
209037-30102013,26,Cooking-time,0,1,0,100
209038-30102013,27,Cooking-time,0,1,0,100
209039-30102013,28,Cooking-time,0,1,0,100
209040-30102013,29,Cooking-time,0,1,0,100
209041-30102013,30,Cooking-time,0,1,0,100
209042-30102013,31,Cooking-time,0,1,0,100
209043-30102013,32,Cooking-time,0,1,0,100
209044-30102013,33,Cooking-time,0,1,0,100
209045-30102013,34,Cooking-time,0,1,0,100
209046-30102013,35,Cooking-time,0,1,0,100
209047-30102013,36,Cooking-time,0,1,0,100
209048-30102013,37,Cooking-time,0,1,0,100
209049-30102013,38,Cooking-time,0,1,0,100
209050-30102013,39,Cooking-time,0,1,0,100
209051-30102013,40,Cooking-time,0,1,0,100
209052-30102013,41,Cooking-time,0,1,0,100
209053-30102013,42,Office Hours,0,1,0,100
209054-30102013,43,Office Hours,0,1,0,100
209064-30102013,44,Office Hours,0,1,0,100
209067-30102013,45,Office Hours,0,1,0,100
075454-07052014,10,Night-time,0,1,0,100
075565-07052014,11,Office Hours,0,1,0,100
057049-12042015,10,Office Hours,0,1,0,100
