incident_number,repeat_count,work_end,true_alarm,false_alarm,true_percentage,false_percentage
619336-17072012,6,Work_days,0,51,0,100
619344-17072012,7,Work_days,0,32,0,100
619610-18072012,8,Work_days,0,20,0,100
629467-05082012,5,Week_ends,0,31,0,100
661987-15092012,6,Week_ends,0,18,0,100
662003-15092012,7,Week_ends,0,11,0,100
662162-15092012,8,Week_ends,0,11,0,100
662531-15092012,9,Week_ends,0,6,0,100
671487-28092012,9,Work_days,0,8,0,100
671909-28092012,10,Work_days,0,6,0,100
671932-28092012,11,Work_days,0,3,0,100
054928-16032013,10,Week_ends,0,3,0,100
054988-16032013,11,Week_ends,0,2,0,100
055001-16032013,12,Week_ends,0,1,0,100
055016-16032013,13,Week_ends,0,1,0,100
055058-16032013,14,Week_ends,0,1,0,100
055073-16032013,15,Week_ends,0,1,0,100
209023-30102013,12,Work_days,0,1,0,100
209024-30102013,13,Work_days,0,1,0,100
209025-30102013,14,Work_days,0,1,0,100
209026-30102013,15,Work_days,0,1,0,100
209027-30102013,16,Work_days,0,1,0,100
209028-30102013,17,Work_days,0,1,0,100
209029-30102013,18,Work_days,0,1,0,100
209030-30102013,19,Work_days,0,1,0,100
209031-30102013,20,Work_days,0,1,0,100
209032-30102013,21,Work_days,0,1,0,100
209033-30102013,22,Work_days,0,1,0,100
209034-30102013,23,Work_days,0,1,0,100
209035-30102013,24,Work_days,0,1,0,100
209036-30102013,25,Work_days,0,1,0,100
209037-30102013,26,Work_days,0,1,0,100
209038-30102013,27,Work_days,0,1,0,100
209039-30102013,28,Work_days,0,1,0,100
209040-30102013,29,Work_days,0,1,0,100
209041-30102013,30,Work_days,0,1,0,100
209042-30102013,31,Work_days,0,1,0,100
209043-30102013,32,Work_days,0,1,0,100
209044-30102013,33,Work_days,0,1,0,100
209045-30102013,34,Work_days,0,1,0,100
209046-30102013,35,Work_days,0,1,0,100
209047-30102013,36,Work_days,0,1,0,100
209048-30102013,37,Work_days,0,1,0,100
209049-30102013,38,Work_days,0,1,0,100
209050-30102013,39,Work_days,0,1,0,100
209051-30102013,40,Work_days,0,1,0,100
209052-30102013,41,Work_days,0,1,0,100
209053-30102013,42,Work_days,0,1,0,100
209054-30102013,43,Work_days,0,1,0,100
209064-30102013,44,Work_days,0,1,0,100
209067-30102013,45,Work_days,0,1,0,100
