incident_number,season,alarm_type,build_type,true_alarm,false_alarm,true_percentage,false_percentage
602600-16062012,Winter,6900,restaurant,0,41,0,100
602690-17062012,Winter,1120,industry_facility,0,4,0,100
602829-17062012,Winter,6200,office,0,61,0,100
602900-17062012,Winter,6200,industry_facility,0,33,0,100
603219-18062012,Winter,6110,rest_home,0,21,0,100
603405-18062012,Winter,1100,hospital,0,13,0,100
603444-18062012,Winter,1100,industry_facility,0,24,0,100
603859-19062012,Winter,1100,house,0,13,0,100
603860-19062012,Winter,6100,house,0,68,0,100
604850-21062012,Winter,0,others,0,30,0,100
605258-22062012,Winter,1370,others,0,2,0,100
605600-22062012,Winter,0,rest_home,0,5,0,100
606580-24062012,Winter,1100,restaurant,0,7,0,100
606929-25062012,Winter,7100,others,0,1,0,100
607460-26062012,Winter,6200,tansport,0,19,0,100
607669-26062012,Winter,0,office,0,5,0,100
607674-26062012,Winter,0,tansport,0,1,0,100
607692-26062012,Winter,0,hotel,0,2,0,100
607697-26062012,Winter,0,apartment,0,11,0,100
607729-26062012,Winter,0,hospital,0,7,0,100
607746-26062012,Winter,0,school,0,6,0,100
607806-26062012,Winter,0,public_facility,0,8,0,100
607820-26062012,Winter,0,house,0,5,0,100
607849-26062012,Winter,0,shopping_mall,0,2,0,100
607903-26062012,Winter,0,industry_facility,0,2,0,100
608439-27062012,Winter,6290,school,0,9,0,100
609368-29062012,Winter,7110,others,0,12,0,100
609712-30062012,Winter,1900,apartment,0,7,0,100
611320-02072012,Winter,6120,industry_facility,0,10,0,100
611321-02072012,Winter,1170,industry_facility,0,4,0,100
613591-07072012,Winter,6110,shopping_mall,0,25,0,100
614644-08072012,Winter,1900,shopping_mall,0,3,0,100
615681-10072012,Winter,6120,office,0,2,0,100
616870-13072012,Winter,1900,public_facility,0,1,0,100
621628-22072012,Winter,1200,apartment,0,3,0,100
622375-23072012,Winter,1100,tansport,0,31,0,100
622533-24072012,Winter,1900,others,0,20,0,100
626267-31072012,Winter,1120,hotel,0,3,0,100
627055-01082012,Winter,1200,office,0,5,0,100
627308-02082012,Winter,1200,others,0,4,0,100
637517-16082012,Winter,1190,office,0,1,0,100
649184-01092012,Spring,1900,others,0,45,0,100
649287-01092012,Spring,1900,industry_facility,0,1,0,100
649314-01092012,Spring,1100,restaurant,0,12,0,100
649472-01092012,Spring,1100,hotel,0,50,0,100
650652-02092012,Spring,1100,tansport,0,39,0,100
650814-02092012,Spring,1120,hotel,0,8,0,100
651062-03092012,Spring,6110,hospital,0,33,0,100
654834-06092012,Spring,6100,house,0,52,0,100
655154-07092012,Spring,0,hotel,0,9,0,100
655437-07092012,Spring,6110,shopping_mall,0,25,0,100
655863-07092012,Spring,0,public_facility,0,6,0,100
657941-09092012,Spring,0,hospital,0,11,0,100
658555-10092012,Spring,0,house,0,5,0,100
658570-10092012,Spring,1100,hospital,0,19,0,100
658779-10092012,Spring,0,shopping_mall,0,2,0,100
658786-10092012,Spring,0,school,0,6,0,100
659319-11092012,Spring,6100,restaurant,0,19,0,100
659893-11092012,Spring,6110,house,0,7,0,100
661524-14092012,Spring,0,rest_home,0,7,0,100
666275-21092012,Spring,6200,house,0,16,0,100
668995-24092012,Spring,1100,house,0,14,0,100
673322-30092012,Spring,6200,industry_facility,0,21,0,100
683592-13102012,Spring,7110,others,0,10,0,100
685522-16102012,Spring,1170,others,0,2,0,100
685785-17102012,Spring,1120,hospital,0,4,0,100
690003-22102012,Spring,1900,shopping_mall,0,2,0,100
693846-27102012,Spring,1120,shopping_mall,0,3,0,100
697576-01112012,Spring,1200,public_facility,0,1,0,100
698907-02112012,Spring,1900,public_facility,0,9,0,100
704497-10112012,Spring,1160,office,0,1,0,100
707465-14112012,Spring,6110,restaurant,0,1,0,100
708026-15112012,Spring,6600,apartment,0,2,0,100
710009-19112012,Spring,1120,industry_facility,0,6,0,100
714238-25112012,Spring,1170,industry_facility,0,2,0,100
714349-25112012,Spring,1200,others,0,4,0,100
718590-01122012,Summer,6200,industry_facility,0,13,0,100
719022-01122012,Summer,1100,industry_facility,0,22,0,100
719876-03122012,Summer,1120,office,0,13,0,100
719887-03122012,Summer,1160,office,0,2,0,100
721328-04122012,Summer,6200,house,0,20,0,100
721428-05122012,Summer,1170,industry_facility,0,4,0,100
721427-05122012,Summer,6120,industry_facility,0,6,0,100
722395-05122012,Summer,6100,house,0,73,0,100
723620-07122012,Summer,1120,industry_facility,0,8,0,100
724698-08122012,Summer,6110,restaurant,0,3,0,100
726281-11122012,Summer,1900,apartment,0,15,0,100
727896-13122012,Summer,1100,rest_home,0,27,0,100
728521-14122012,Summer,1120,hospital,0,7,0,100
728643-14122012,Summer,6110,shopping_mall,0,16,0,100
728917-14122012,Summer,1100,hospital,0,25,0,100
730686-17122012,Summer,6110,industry_facility,0,41,0,100
732385-19122012,Summer,6990,restaurant,0,27,0,100
732887-20122012,Summer,6110,rest_home,0,23,0,100
735528-23122012,Summer,0,apartment,0,7,0,100
738130-26122012,Summer,0,house,0,2,0,100
738513-27122012,Summer,1900,public_facility,0,5,0,100
003165-04012013,Summer,0,others,0,16,0,100
006273-08012013,Summer,1120,shopping_mall,0,2,0,100
007523-08012013,Summer,1170,others,0,1,0,100
010298-11012013,Summer,6110,house,0,5,0,100
014862-15012013,Summer,1200,others,0,7,0,100
015208-16012013,Summer,6120,others,0,9,0,100
015561-16012013,Summer,1120,hotel,0,3,0,100
019932-20012013,Summer,1120,apartment,0,3,0,100
020161-20012013,Summer,1200,public_facility,0,1,0,100
021195-22012013,Summer,1900,shopping_mall,0,3,0,100
021862-23012013,Summer,0,rest_home,0,2,0,100
028645-31012013,Summer,0,school,0,3,0,100
043437-24022013,Summer,1100,restaurant,0,8,0,100
046758-01032013,Autumn,6200,public_facility,0,100,0,100
046882-01032013,Autumn,1120,industry_facility,0,7,0,100
047025-01032013,Autumn,6110,rest_home,0,33,0,100
047468-02032013,Autumn,6990,restaurant,0,25,0,100
047561-02032013,Autumn,1120,hotel,0,5,0,100
048256-04032013,Autumn,6200,industry_facility,0,31,0,100
048440-04032013,Autumn,1100,rest_home,0,40,0,100
049037-05032013,Autumn,1100,hospital,0,40,0,100
049620-06032013,Autumn,6900,restaurant,0,57,0,100
049733-07032013,Autumn,1100,tansport,0,21,0,100
049969-07032013,Autumn,1120,office,0,15,0,100
050518-08032013,Autumn,6990,tansport,0,65,0,100
051038-09032013,Autumn,6110,industry_facility,0,35,0,100
052076-11032013,Autumn,6110,hospital,0,30,0,100
052187-11032013,Autumn,1200,apartment,0,2,0,100
053948-14032013,Autumn,1900,apartment,0,10,0,100
055927-18032013,Autumn,6100,restaurant,0,19,0,100
056431-19032013,Autumn,1200,public_facility,0,1,0,100
057099-20032013,Autumn,6200,house,0,15,0,100
057832-21032013,Autumn,6100,house,0,97,0,100
061389-26032013,Autumn,6120,industry_facility,0,6,0,100
061985-27032013,Autumn,1120,hospital,0,4,0,100
063896-30032013,Autumn,6210,office,0,14,0,100
066106-03042013,Autumn,6200,tansport,0,11,0,100
069377-09042013,Autumn,6200,restaurant,0,1,0,100
072210-14042013,Autumn,0,school,0,2,0,100
074076-17042013,Autumn,0,house,0,1,0,100
074096-17042013,Autumn,0,hotel,0,1,0,100
074592-18042013,Autumn,1170,others,0,2,0,100
082702-01052013,Autumn,0,public_facility,0,3,0,100
083597-03052013,Autumn,0,apartment,0,4,0,100
086882-08052013,Autumn,1200,others,0,12,0,100
096809-24052013,Autumn,0,hospital,0,1,0,100
097259-25052013,Autumn,6110,shopping_mall,0,18,0,100
102114-03062013,Winter,1200,public_facility,0,4,0,100
103029-05062013,Winter,6110,house,0,6,0,100
104010-07062013,Winter,1170,others,0,2,0,100
107254-13062013,Winter,1120,office,0,7,0,100
113849-25062013,Winter,6210,office,0,2,0,100
120009-07072013,Winter,1120,hospital,0,3,0,100
121869-10072013,Winter,8990,others,0,1,0,100
162869-11092013,Spring,6210,office,0,6,0,100
163603-12092013,Spring,1120,apartment,0,3,0,100
165023-13092013,Spring,1120,office,0,5,0,100
171327-23092013,Spring,0,office,0,5,0,100
174879-27092013,Spring,1200,shopping_mall,0,2,0,100
220396-12112013,Spring,1120,public_facility,0,1,0,100
234686-06122013,Summer,1200,hotel,0,7,0,100
241556-17122013,Summer,6120,office,0,1,0,100
009964-16012014,Summer,6210,office,0,2,0,100
022764-03022014,Summer,0,hotel,0,2,0,100
025120-06022014,Summer,0,industry_facility,0,1,0,100
028073-10022014,Summer,7110,others,0,5,0,100
031535-15022014,Summer,0,shopping_mall,0,1,0,100
037114-25022014,Summer,2270,others,0,1,0,100
037864-27022014,Summer,0,public_facility,0,1,0,100
043487-09032014,Autumn,1120,apartment,0,2,0,100
048676-17032014,Autumn,0,rest_home,0,2,0,100
049093-18032014,Autumn,6120,others,0,2,0,100
053013-25032014,Autumn,1900,public_facility,0,2,0,100
057040-01042014,Autumn,1100,restaurant,0,5,0,100
062375-12042014,Autumn,1110,others,0,1,0,100
071650-29042014,Autumn,0,shopping_mall,0,1,0,100
090425-02062014,Winter,1200,hotel,0,5,0,100
105216-01072014,Winter,2270,others,0,2,0,100
115841-18072014,Winter,1130,shopping_mall,0,1,0,100
144724-04092014,Spring,1200,hotel,0,5,0,100
170676-15102014,Spring,1110,others,0,2,0,100
176281-25102014,Spring,2350,others,0,2,0,100
186698-07112014,Spring,1200,office,0,1,0,100
205828-03122014,Summer,1900,school,0,1,0,100
213596-14122014,Summer,4310,others,0,1,0,100
223401-30122014,Summer,2270,office,0,2,0,100
004434-08012015,Summer,1200,office,0,1,0,100
009606-17012015,Summer,0,tansport,0,1,0,100
038453-10032015,Autumn,1200,office,0,2,0,100
046509-24032015,Autumn,2350,others,0,1,0,100
058408-15042015,Autumn,1140,apartment,0,2,0,100
058444-15042015,Autumn,0,tansport,0,1,0,100
068161-22042015,Autumn,4110,others,0,1,0,100
070286-25042015,Autumn,2270,office,0,2,0,100
070514-25042015,Autumn,7110,others,0,1,0,100
102413-24062015,Winter,2270,office,0,2,0,100
