incident_number,season,alarm_type,true_alarm,false_alarm,true_percentage,false_percentage
604850-21062012,Winter,0,0,84,0,100
605258-22062012,Winter,1370,0,2,0,100
606929-25062012,Winter,7100,0,1,0,100
608439-27062012,Winter,6290,0,9,0,100
609712-30062012,Winter,1900,0,31,0,100
611321-02072012,Winter,1170,0,6,0,100
621628-22072012,Winter,1200,0,21,0,100
637517-16082012,Winter,1190,0,1,0,100
685522-16102012,Spring,1170,0,4,0,100
697576-01112012,Spring,1200,0,13,0,100
704497-10112012,Spring,1160,0,1,0,100
708026-15112012,Spring,6600,0,2,0,100
719887-03122012,Summer,1160,0,2,0,100
721428-05122012,Summer,1170,0,5,0,100
721427-05122012,Summer,6120,0,16,0,100
014862-15012013,Summer,1200,0,16,0,100
052187-11032013,Autumn,1200,0,17,0,100
061389-26032013,Autumn,6120,0,8,0,100
063896-30032013,Autumn,6210,0,14,0,100
074592-18042013,Autumn,1170,0,2,0,100
113849-25062013,Winter,6210,0,2,0,100
121869-10072013,Winter,8990,0,1,0,100
162869-11092013,Spring,6210,0,6,0,100
009964-16012014,Summer,6210,0,2,0,100
037114-25022014,Summer,2270,0,3,0,100
062375-12042014,Autumn,1110,0,1,0,100
105216-01072014,Winter,2270,0,4,0,100
115841-18072014,Winter,1130,0,1,0,100
170676-15102014,Spring,1110,0,2,0,100
176281-25102014,Spring,2350,0,2,0,100
213596-14122014,Summer,4310,0,1,0,100
046509-24032015,Autumn,2350,0,1,0,100
058408-15042015,Autumn,1140,0,2,0,100
068161-22042015,Autumn,4110,0,1,0,100
070286-25042015,Autumn,2270,0,2,0,100
