incident_number,season,repeat_count,time_of_day2,true_alarm,false_alarm,true_percentage,false_percentage
610292-30062012,Winter,3,Night-time,0,65,0,100
610434-01072012,Winter,4,Cooking-time,0,27,0,100
611562-03072012,Winter,3,Office Hours,0,43,0,100
611912-03072012,Winter,4,Night-time,0,32,0,100
617019-13072012,Winter,4,Office Hours,0,19,0,100
619336-17072012,Winter,6,Cooking-time,0,11,0,100
619344-17072012,Winter,7,Cooking-time,0,4,0,100
619610-18072012,Winter,8,Cooking-time,0,2,0,100
626786-01082012,Winter,5,Night-time,0,10,0,100
627325-02082012,Winter,6,Night-time,0,2,0,100
627652-02082012,Winter,7,Office Hours,0,3,0,100
627895-03082012,Winter,8,Night-time,0,4,0,100
649480-01092012,Spring,3,Office Hours,0,31,0,100
649774-01092012,Spring,4,Office Hours,0,10,0,100
653976-06092012,Spring,4,Night-time,0,20,0,100
657446-09092012,Spring,3,Night-time,0,53,0,100
661790-14092012,Spring,5,Cooking-time,0,15,0,100
661987-15092012,Spring,6,Night-time,0,4,0,100
662003-15092012,Spring,7,Cooking-time,0,4,0,100
662162-15092012,Spring,8,Office Hours,0,1,0,100
662531-15092012,Spring,9,Cooking-time,0,3,0,100
671463-28092012,Spring,5,Night-time,0,4,0,100
671480-28092012,Spring,7,Night-time,0,3,0,100
671483-28092012,Spring,8,Night-time,0,1,0,100
671487-28092012,Spring,9,Night-time,0,1,0,100
671909-28092012,Spring,10,Cooking-time,0,3,0,100
671932-28092012,Spring,11,Cooking-time,0,2,0,100
721415-05122012,Summer,3,Night-time,0,64,0,100
722516-05122012,Summer,5,Night-time,0,9,0,100
722592-06122012,Summer,6,Night-time,0,7,0,100
722656-06122012,Summer,7,Cooking-time,0,7,0,100
722684-06122012,Summer,8,Cooking-time,0,4,0,100
722982-06122012,Summer,3,Office Hours,0,36,0,100
732434-19122012,Summer,4,Office Hours,0,15,0,100
732716-19122012,Summer,4,Night-time,0,17,0,100
733749-21122012,Summer,6,Cooking-time,0,10,0,100
739340-28122012,Summer,8,Office Hours,0,3,0,100
740864-30122012,Summer,5,Cooking-time,0,19,0,100
027209-29012013,Summer,8,Night-time,0,2,0,100
027216-29012013,Summer,9,Night-time,0,2,0,100
030247-02022013,Summer,5,Office Hours,0,6,0,100
030431-02022013,Summer,7,Night-time,0,3,0,100
047193-02032013,Autumn,3,Cooking-time,0,99,0,100
047658-03032013,Autumn,3,Night-time,0,58,0,100
051667-10032013,Autumn,3,Office Hours,0,39,0,100
054698-16032013,Autumn,5,Night-time,0,15,0,100
054702-16032013,Autumn,6,Night-time,0,6,0,100
054713-16032013,Autumn,7,Night-time,0,5,0,100
054727-16032013,Autumn,8,Night-time,0,7,0,100
054752-16032013,Autumn,9,Night-time,0,2,0,100
054928-16032013,Autumn,10,Cooking-time,0,3,0,100
054988-16032013,Autumn,11,Cooking-time,0,2,0,100
055001-16032013,Autumn,12,Office Hours,0,1,0,100
055016-16032013,Autumn,13,Office Hours,0,1,0,100
055058-16032013,Autumn,14,Office Hours,0,1,0,100
055073-16032013,Autumn,15,Office Hours,0,1,0,100
056616-19032013,Autumn,4,Cooking-time,0,36,0,100
056702-19032013,Autumn,5,Office Hours,0,8,0,100
057285-20032013,Autumn,6,Office Hours,0,5,0,100
059125-23032013,Autumn,4,Office Hours,0,18,0,100
059181-23032013,Autumn,5,Cooking-time,0,16,0,100
059239-23032013,Autumn,6,Cooking-time,0,10,0,100
059360-23032013,Autumn,7,Office Hours,0,6,0,100
067780-06042013,Autumn,8,Office Hours,0,1,0,100
096952-24052013,Autumn,7,Cooking-time,0,3,0,100
118045-03072013,Winter,6,Office Hours,0,1,0,100
118473-04072013,Winter,9,Cooking-time,0,1,0,100
203013-23102013,Spring,6,Office Hours,0,2,0,100
209016-30102013,Spring,6,Cooking-time,0,8,0,100
209019-30102013,Spring,8,Cooking-time,0,3,0,100
209023-30102013,Spring,12,Cooking-time,0,1,0,100
209024-30102013,Spring,13,Cooking-time,0,1,0,100
209025-30102013,Spring,14,Cooking-time,0,1,0,100
209026-30102013,Spring,15,Cooking-time,0,1,0,100
209027-30102013,Spring,16,Cooking-time,0,1,0,100
209028-30102013,Spring,17,Cooking-time,0,1,0,100
209029-30102013,Spring,18,Cooking-time,0,1,0,100
209030-30102013,Spring,19,Cooking-time,0,1,0,100
209031-30102013,Spring,20,Cooking-time,0,1,0,100
209032-30102013,Spring,21,Cooking-time,0,1,0,100
209033-30102013,Spring,22,Cooking-time,0,1,0,100
209034-30102013,Spring,23,Cooking-time,0,1,0,100
209035-30102013,Spring,24,Cooking-time,0,1,0,100
209036-30102013,Spring,25,Cooking-time,0,1,0,100
209037-30102013,Spring,26,Cooking-time,0,1,0,100
209038-30102013,Spring,27,Cooking-time,0,1,0,100
209039-30102013,Spring,28,Cooking-time,0,1,0,100
209040-30102013,Spring,29,Cooking-time,0,1,0,100
209041-30102013,Spring,30,Cooking-time,0,1,0,100
209042-30102013,Spring,31,Cooking-time,0,1,0,100
209043-30102013,Spring,32,Cooking-time,0,1,0,100
209044-30102013,Spring,33,Cooking-time,0,1,0,100
209045-30102013,Spring,34,Cooking-time,0,1,0,100
209046-30102013,Spring,35,Cooking-time,0,1,0,100
209047-30102013,Spring,36,Cooking-time,0,1,0,100
209048-30102013,Spring,37,Cooking-time,0,1,0,100
209049-30102013,Spring,38,Cooking-time,0,1,0,100
209050-30102013,Spring,39,Cooking-time,0,1,0,100
209051-30102013,Spring,40,Cooking-time,0,1,0,100
209052-30102013,Spring,41,Cooking-time,0,1,0,100
209053-30102013,Spring,42,Office Hours,0,1,0,100
209054-30102013,Spring,43,Office Hours,0,1,0,100
209064-30102013,Spring,44,Office Hours,0,1,0,100
209067-30102013,Spring,45,Office Hours,0,1,0,100
237821-11122013,Summer,6,Office Hours,0,3,0,100
237822-11122013,Summer,7,Office Hours,0,2,0,100
035151-21022014,Summer,10,Cooking-time,0,1,0,100
075454-07052014,Autumn,10,Night-time,0,1,0,100
075565-07052014,Autumn,11,Office Hours,0,1,0,100
100733-24062014,Winter,7,Night-time,0,3,0,100
109629-08072014,Winter,8,Office Hours,0,1,0,100
169077-14102014,Spring,5,Office Hours,0,1,0,100
029430-22022015,Summer,9,Cooking-time,0,2,0,100
056971-12042015,Autumn,9,Cooking-time,0,3,0,100
057049-12042015,Autumn,10,Office Hours,0,1,0,100
075545-03052015,Autumn,8,Cooking-time,0,2,0,100
